갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
 ,2000, , ,2022,청운동,"85,000",청운현대,5,0,14,129.76, , ,56-45,11110,2
사용,2008,갱신,22.06~24.06,2022,사직동,"110,250",광화문스페이스본(101동~105동),5,0,2,159.01,"105,000", ,9,11110,10
 ,2008,신규,22.07~24.07,2022,사직동,"170,000",광화문스페이스본(101동~105동),5,0,3,159.01, , ,9,11110,10
 ,2008, , ,2022,사직동,"45,000",광화문스페이스본(101동~105동),5,110,13,94.51, , ,9,11110,13
사용,2008,갱신,22.06~24.06,2022,사직동,"45,000",광화문스페이스본(101동~105동),5,110,13,94.51,"45,000",100,9,11110,13
 ,2008,신규,22.06~24.06,2022,사직동,"1,160",광화문스페이스본(101동~105동),5,580,13,151.81, , ,9,11110,8
 ,2008, ,22.05~24.05,2022,사직동,"10,000",광화문스페이스본(101동~105동),5,210,14,70.8, , ,9,11110,6
 ,2008, , ,2022,사직동,"60,000",광화문스페이스본(101동~105동),5,150,18,94.51, , ,9,11110,9
 ,2008,신규,22.08~24.08,2022,사직동,"60,000",광화문스페이스본(101동~105동),5,150,18,94.51, , ,9,11110,9
 ,2008,신규,22.07~24.07,2022,사직동,"80,000",광화문스페이스본(101동~105동),5,0,23,70.8, , ,9,11110,3
 ,1983,신규,22.07~24.07,2022,당주동,"50,000",세종,5,0,24,104.73, , ,100,11110,5
 ,2003, , ,2022,내수동,"80,000",경희궁파크팰리스,5,0,16,117.26, , ,95,11110,4
 ,2004,신규,22.07~24.07,2022,내수동,"10,000",경희궁의아침3단지,5,42,19,124.17, , ,72,11110,7
 ,2004,신규,22.07~24.07,2022,내수동,"1,200",경희궁의아침2단지,5,600,21,174.55, , ,71,11110,10
 ,2003,신규,22.08~24.08,2022,내수동,"80,000",경희궁파크팰리스,5,200,23,146.39, , ,95,11110,14
 ,2004,갱신,22.07~25.01,2022,내수동,"100,000",경희궁의아침3단지,5,150,24,149,"100,000",80,72,11110,8
 ,1998,신규,22.06~24.06,2022,익선동,"55,000",운현신화타워,5,0,10,84.26, , ,30-6,11110,14
 ,2003,신규,22.06~24.06,2022,익선동,"1,000",현대뜨레비앙,5,95,24,45.5, , ,55,11110,7
 ,2003,신규,22.06~24.06,2022,익선동,"1,000",현대뜨레비앙,5,100,30,48.54, , ,55,11110,2
 ,2013,신규,22.05~23.05,2022,경운동,"1,000",삼성빌딩,5,55,16,14.88, , ,22,11110,4
 ,2013,신규,22.07~23.06,2022,경운동,"1,000",삼성빌딩,5,60,30,14.88, , ,22,11110,7
 ,1968,신규,22.06~24.05,2022,낙원동,"2,000",낙원,5,110,9,70.61, , ,288,11110,7
 ,1968,갱신,22.05~24.05,2022,낙원동,"15,000",낙원,5,0,13,65.92,"17,000", ,288,11110,13
 ,2006, , ,2022,인의동,"10,000",효성쥬얼리시티,5,185,14,92.81, , ,48-2,11110,13
 ,2006,신규,22.06~24.06,2022,인의동,"10,000",효성쥬얼리시티,5,185,14,92.81, , ,48-2,11110,13
