갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
 ,2008, , ,2020,사직동,"10,000",광화문스페이스본(101동~105동),8,0,4,94.51, , ,9,11110,11
 ,2008, , ,2020,사직동,"110,000",광화문스페이스본(101동~105동),8,0,7,159.01, , ,9,11110,13
 ,2008, , ,2020,사직동,"110,000",광화문스페이스본(101동~105동),8,0,8,146.92, , ,9,11110,1
 ,2008, , ,2020,사직동,"5,000",광화문스페이스본(101동~105동),8,350,26,158.99, , ,9,11110,9
 ,2008, , ,2020,사직동,"93,000",광화문스페이스본(101동~105동),8,0,31,131.44, , ,9,11110,6
 ,2004, , ,2020,내수동,"110,000",경희궁의아침4단지,8,0,13,124.17, , ,73,11110,11
 ,2004, , ,2020,내수동,"70,000",경희궁의아침4단지,8,180,13,150.77, , ,73,11110,15
 ,2004, , ,2020,내수동,"105,000",경희궁의아침2단지,8,0,31,140.78, , ,71,11110,7
 ,2003, , ,2020,익선동,"1,000",현대뜨레비앙,8,110,6,39.9, , ,55,11110,8
 ,2003, , ,2020,익선동,"10,000",현대뜨레비앙,8,60,12,48.54, , ,55,11110,9
 ,1998, , ,2020,익선동,"26,450",운현신화타워,8,0,13,50.31, , ,30-6,11110,14
 ,2003, , ,2020,익선동,"26,000",현대뜨레비앙,8,0,26,48.54, , ,55,11110,5
 ,2013, , ,2020,경운동,"2,000",삼성빌딩,8,45,24,18.18, , ,22,11110,7
 ,2006, , ,2020,인의동,"50,000",효성쥬얼리시티,8,0,11,84.64, , ,48-2,11110,13
 ,2002, , ,2020,명륜1가,"46,000",아미레스아파트,8,0,6,72.61, , ,45-5,11110,7
 ,1999, , ,2020,명륜2가,"35,000",명륜동주상복합아남아파트,8,0,17,50.49, , ,237,11110,3
 ,1999, , ,2020,명륜2가,"8,000",명륜동주상복합아남아파트,8,90,18,50.49, , ,237,11110,3
 ,1999, , ,2020,창신동,"40,000",두산,8,0,1,59.95, , ,232,11110,2
 ,1992, , ,2020,창신동,"24,000",창신쌍용1,8,0,1,54.7, , ,702,11110,10
 ,2003, , ,2020,창신동,"45,000",창신이수,8,0,3,84.5, , ,23-816,11110,18
 ,1992, , ,2020,창신동,"29,000",창신쌍용1,8,0,3,54.7, , ,702,11110,6
