manageNo,parkNm,parkSe,rdnmadr,lnmadr,latitude,longitude,parkAr,appnNtfcDate,institutionNm,phoneNumber,referenceDate,insttCode
11350-00001,수락산<시공원>,기타,,서울특별시 노원구 상계동 산3-1,37.691731,127.0660338,6691885.3,,,,2023-08-09,3100000
11545-00024,남문,어린이공원,,서울특별시 금천구 독산동 160-6,37.472321,126.900396,883.6,1976-09-04,서울특별시 금천구청,02-2627-1654,2023-08-23,3170000
11545-00025,구룡,어린이공원,,서울특별시 금천구 독산동 964,37.477891,126.9027669,934.9,1971-11-12,서울특별시 금천구청,02-2627-1654,2023-08-23,3170000
11545-00026,반수,어린이공원,서울특별시 금천구 독산로93길 18,서울특별시 금천구 독산동 980-44,37.4740151,126.902233,990.6,1971-11-12,서울특별시 금천구청,02-2627-1654,2023-08-23,3170000
11545-00027,한사랑,어린이공원,,서울특별시 금천구 독산동 925-2,37.467716,126.904573,585.9,1973-01-23,서울특별시 금천구청,02-2627-1654,2023-08-23,3170000
11545-00028,쌈지,어린이공원,,서울특별시 금천구 독산동 189-1,37.47090493,126.9039831,982.8,1971-11-12,서울특별시 금천구청,02-2627-1654,2023-08-23,3170000
11545-00029,소망,어린이공원,서울특별시 금천구 독산로75길 12-7,서울특별시 금천구 독산동 196-8,37.46936829,126.9016706,998.0,1971-11-12,서울특별시 금천구청,02-2627-1654,2023-08-23,3170000
11545-00030,남서울,어린이공원,,서울특별시 금천구 시흥동 986-2,37.448336,126.902123,1155.7,1971-11-22,서울특별시 금천구청,02-2627-1654,2023-08-23,3170000
11545-00031,새재미,어린이공원,서울특별시 금천구 독산로39길 16,서울특별시 금천구 시흥동 855,37.45884579,126.904239,1185.2,1977-03-16,서울특별시 금천구청,02-2627-1654,2023-08-23,3170000
11545-00032,해태,어린이공원,,서울특별시 금천구 시흥동 871-24,37.457773,126.901866,962.6,2004-11-10,서울특별시 금천구청,02-2627-1654,2023-08-23,3170000
11545-00033,부장천,어린이공원,서울특별시 금천구 금하로 668,서울특별시 금천구 시흥동 893,37.45266794,126.9044062,944.0,1971-11-12,서울특별시 금천구청,02-2627-1654,2023-08-23,3170000
11545-00034,풍림,어린이공원,,서울특별시 금천구 시흥동 1026-3,37.44783408,126.9017968663,2195.0,1971-11-12,서울특별시 금천구청,02-2627-1654,2023-08-23,3170000
11545-00035,중앙,어린이공원,,서울특별시 금천구 시흥동 1027-2,37.4464112594,126.901602739,1515.0,1971-11-22,서울특별시 금천구청,02-2627-1654,2023-08-23,3170000
11545-00036,꾸러기,어린이공원,,서울특별시 금천구 시흥동 943-16,37.44316993,126.905877,359.4,1971-11-12,서울특별시 금천구청,02-2627-1654,2023-08-23,3170000
11545-00037,비둘기,어린이공원,,서울특별시 금천구 시흥동 947-4,37.441597,126.906264,985.2,1971-11-12,서울특별시 금천구청,02-2627-1654,2023-08-23,3170000
11545-00038,까치,어린이공원,,서울특별시 금천구 시흥동 959-2,37.439645,126.904994,925.3,1971-11-12,서울특별시 금천구청,02-2627-1654,2023-08-23,3170000
11545-00039,진달래,어린이공원,,서울특별시 금천구 시흥동 970-3,37.434878,126.904883,992.2,1987-08-27,서울특별시 금천구청,02-2627-1654,2023-08-23,3170000
11545-00040,단군,어린이공원,,서울특별시 금천구 시흥동 169-21,37.45569721,126.9086585,250.0,1977-12-31,서울특별시 금천구청,02-2627-1654,2023-08-23,3170000
11350-00002,불암산<시공원>,기타,서울특별시 노원구 한글비석로12길 51-49,서울특별시 노원구 중계동 산101-1,37.65550096,127.0810225,5332422.0,,,,2023-08-09,3100000
11470-00065,신기,어린이공원,,서울특별시 양천구 신정3동 1260,37.514092,126.854244,1534.0,2000-04-28,서울특별시 양천구청 공원녹지과,02-2620-3581,2023-08-20,3140000
11470-00066,계남,근린공원,,"서울특별시 양천구 신정3동 521, 621일대",37.513745,126.844816,440173.0,2000-04-28,서울특별시 양천구청 공원녹지과,02-2620-3576,2023-08-20,3140000
11470-00067,푸른,어린이공원,,서울특별시 양천구 신정3동 1283-1,37.511603,126.837445,2574.9,2002-06-25,서울특별시 양천구청 공원녹지과,02-2620-3581,2023-08-20,3140000
11470-00068,신이,어린이공원,,서울특별시 양천구 신정3동 1284-1,37.512521,126.837529,1510.3,2002-06-25,서울특별시 양천구청 공원녹지과,02-2620-3581,2023-08-20,3140000
11470-00069,넘은들,근린공원,,서울특별시 양천구 신정3동 1286,37.512951,126.840441,16159.6,2002-06-25,서울특별시 양천구청 공원녹지과,02-2620-4569,2023-08-20,3140000
11470-00070,하늘마루,어린이공원,,서울특별시 양천구 신정3동 1316-2,37.512571,126.831703,1500.0,2005-12-29,서울특별시 양천구청 공원녹지과,02-2620-3581,2023-08-20,3140000
11470-00071,연의,근린공원,,서울특별시 양천구 신정3동 1320-9외 6필지,37.514067,126.830401,37520.0,2005-12-29,서울특별시 양천구청 공원녹지과,02-2620-4569,2023-08-20,3140000
11470-00072,숲속,어린이공원,,서울특별시 양천구 신정3동 1322-10,37.514551,126.830941,1500.0,2005-12-29,서울특별시 양천구청 공원녹지과,02-2620-3581,2023-08-20,3140000
11470-00073,넓은들,어린이공원,,서울특별시 양천구 신정3동 767,37.511317,126.839385,3288.0,2005-10-25,서울특별시 양천구청 공원녹지과,02-2620-3581,2023-08-20,3140000
11470-00074,신정3동소공원,소공원,,서울특별시 양천구 신정3동 831,37.50612432,126.8339302,3353.0,2012-12-21,서울특별시 양천구청 공원녹지과,02-2620-4569,2023-08-20,3140000
11470-00075,동개울,어린이공원,,서울특별시 양천구 신정4동 876-1,37.527916,126.856519,991.2,1982-04-03,서울특별시 양천구청 공원녹지과,02-2620-3581,2023-08-20,3140000
11470-00076,오구,어린이공원,,서울특별시 양천구 신정4동 888-1,37.527272,126.861874,738.4,1982-04-03,서울특별시 양천구청 공원녹지과,02-2620-3581,2023-08-20,3140000
11470-00077,홍익,어린이공원,,서울특별시 양천구 신정4동 896-22,37.528547,126.862274,990.8,1982-04-03,서울특별시 양천구청 공원녹지과,02-2620-3581,2023-08-20,3140000
11470-00078,앞산,어린이공원,,서울특별시 양천구 신정4동 910-9,37.526441,126.858307,1050.5,1982-04-03,서울특별시 양천구청 공원녹지과,02-2620-3581,2023-08-20,3140000
11470-00079,진주,어린이공원,,서울특별시 양천구 신정4동 920-3,37.526494,126.855036,940.5,1982-04-03,서울특별시 양천구청 공원녹지과,02-2620-3581,2023-08-20,3140000
11470-00080,음골,어린이공원,,서울특별시 양천구 신정4동 936-13,37.527336,126.851231,995.4,1982-04-03,서울특별시 양천구청 공원녹지과,02-2620-3581,2023-08-20,3140000
11470-00081,안산,어린이공원,,서울특별시 양천구 신정4동 949-4,37.524593,126.856172,992.1,1982-04-03,서울특별시 양천구청 공원녹지과,02-2620-3581,2023-08-20,3140000
11470-00082,새뚝,어린이공원,,서울특별시 양천구 신정4동 955-1,37.524029,126.857728,961.3,1982-04-03,서울특별시 양천구청 공원녹지과,02-2620-3581,2023-08-20,3140000
11470-00083,은행정,어린이공원,,서울특별시 양천구 신정4동 975-30,37.522027,126.855022,1062.2,1982-04-03,서울특별시 양천구청 공원녹지과,02-2620-3581,2023-08-20,3140000
11470-00084,아랫말,어린이공원,,서울특별시 양천구 신정4동 990-1,37.525063,126.861828,947.7,1982-04-03,서울특별시 양천구청 공원녹지과,02-2620-3581,2023-08-20,3140000
11470-00085,양천,근린공원,,서울특별시 양천구 신정6동 320,37.518124,126.867861,33797.9,1983-11-01,서울특별시 양천구청 공원녹지과,02-2620-3574,2023-08-20,3140000
11470-00086,꿈동산,어린이공원,,서울특별시 양천구 신정6동 314-1,37.521912,126.867457,3730.1,1987-11-01,서울특별시 양천구청 공원녹지과,02-2620-3581,2023-08-20,3140000
11470-00087,다람쥐,어린이공원,,서울특별시 양천구 신정6동 327-1,37.513482,126.866021,2265.5,1987-11-01,서울특별시 양천구청 공원녹지과,02-2620-3581,2023-08-20,3140000
11470-00088,까치,어린이공원,,서울특별시 양천구 신정6동 328-1,37.514958,126.868243,2149.8,1987-11-01,서울특별시 양천구청 공원녹지과,02-2620-3581,2023-08-20,3140000
11470-00089,꿈나래,어린이공원,,서울특별시 양천구 신정6동 329-2,37.516283,126.869774,2433.9,1987-11-01,서울특별시 양천구청 공원녹지과,02-2620-3581,2023-08-20,3140000
11470-00090,기린,어린이공원,,서울특별시 양천구 신정6동 330-1,37.516283,126.869774,2029.7,1987-11-01,서울특별시 양천구청 공원녹지과,02-2620-3581,2023-08-20,3140000
11470-00091,사슴,어린이공원,,서울특별시 양천구 신정6동 332-1,37.515672,126.873427,2511.3,1987-11-01,서울특별시 양천구청 공원녹지과,02-2620-3581,2023-08-20,3140000
11470-00092,갈산,근린공원,,서울특별시 양천구 신정7동 162-56,37.508129,126.869032,139576.0,1971-08-06,서울특별시 양천구청 공원녹지과,02-2620-3574,2023-08-20,3140000
11500-00139,햇빛,어린이공원,,서울특별시 강서구 내발산동 384-2,37.555822,126.826886,2066.0,,서울특별시 강서구청,02-2600-4267,2024-02-21,3150000
11500-00140,마곡지구4호,근린공원,,서울특별시 강서구 마곡동 811-5,37.568317,126.826463,35884.0,,서울특별시 강서구청,02-2600-4186,2024-02-21,3150000
11500-00141,푸른수명산,소공원,,서울특별시 강서구 화곡동 1091-15,37.544175,126.830269,822.9,,서울특별시 강서구청,02-2600-4267,2024-02-21,3150000
11500-00142,마곡,소공원,,서울특별시 강서구 마곡동 737-16,37.567478,126.822146,1085.2,,서울특별시 강서구청,02-2600-4267,2024-02-21,3150000
11500-00143,염창,소공원,,서울특별시 강서구염창동 309-1,37.549839,126.870745,1229.2,,서울특별시 강서구청,02-2600-4267,2024-02-21,3150000
11500-00144,염창2,소공원,,서울특별시 강서구염창동 306-1,37.551722,126.873857,272.5,,서울특별시 강서구청,02-2600-4267,2024-02-21,3150000
11500-00145,탑산(가양동),문화공원,,서울특별시 강서구가양동 1499,37.566194,126.846336,3783.8,,서울특별시 강서구청,02-2600-4267,2024-02-21,3150000
11500-00146,새개,문화공원,,서울특별시 강서구마곡동 800-7,37.558287,126.83003,3836.6,,서울특별시 강서구청,02-2600-4267,2024-02-21,3150000
11500-00147,놋다리,문화공원,,서울특별시 강서구마곡동 790-6,37.566207,126.84614,2574.7,,서울특별시 강서구청,02-2600-4267,2024-02-21,3150000
11500-00148,똘고랑,문화공원,,서울특별시 강서구 마곡동 756-4,37.571433,126.826326,3089.9,,서울특별시 강서구청,02-2600-4267,2024-02-21,3150000
11500-00149,선두암,문화공원,,서울특별시 강서구 마곡동 778-4,37.567379,126.83817,2581.3,,서울특별시 강서구청,02-2600-4267,2024-02-21,3150000
11500-00150,한다리,문화공원,,서울특별시 강서구 마곡동 727-1038,37.56106,126.830369,8298.0,,서울특별시 강서구청,02-2600-4267,2024-02-21,3150000
11500-00151,가로공원1호,가로공원,,서울특별시 강서구 마곡동 797-5,37.559061,126.837242,2618.5,,서울특별시 강서구청,02-2600-4267,2024-02-21,3150000
11290-00004,청량,근린공원,서울특별시 성북구 화랑로32길 146-37,서울특별시 성북구 석관동 409,37.602970635,127.053995363,329290.0,1940-03-12,서울특별시 성북구청,02-2241-3668,2023-12-27,3070000
11380-00053,덕수천,근린공원,,서울특별시 은평구진관동 14-3,37.609251,126.90656,5569.1,,서울시특별시 은평구청 공원녹지과,02-351-8008,2021-05-01,3110000
11380-00054,마고정,근린공원,,서울특별시 은평구진관동 101-2,37.611787,126.909981,4551.6,,서울시특별시 은평구청 공원녹지과,02-351-8008,2021-05-01,3110000
11380-00055,우물골,근린공원,,"서울특별시 은평구진관동 85-1,2,3",37.6351344788,126.9253781615,7203.1,,서울시특별시 은평구청 공원녹지과,02-351-8008,2021-05-01,3110000
