갱신요구권사용,건축년도,계약구분,계약기간,년,단지,법정동,보증금,시군구,월,월세,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
 ,2008, , ,2020,광화문 스페이스본,사직동,"1,000",종로구,10,100,23,39.54, , ,9,11110,5
 ,2004, , ,2020,경희궁의 아침 3단지,내수동,"1,000",종로구,10,85,7,37.5, , ,72,11110,16
 ,2004, , ,2020,경희궁의 아침 4단지,내수동,"5,000",종로구,10,55,12,28.24, , ,73,11110,7
 ,2004, , ,2020,경희궁의 아침 3단지,내수동,"1,000",종로구,10,85,13,37.5, , ,72,11110,14
 ,2004, , ,2020,용비어천가,내수동,"4,000",종로구,10,70,13,37.56, , ,75,11110,8
 ,2004, , ,2020,용비어천가,내수동,"25,000",종로구,10,0,14,37.56, , ,75,11110,6
 ,2004, , ,2020,용비어천가,내수동,"25,000",종로구,10,0,14,37.56, , ,75,11110,6
 ,2004, , ,2020,광화문시대,내수동,"1,000",종로구,10,85,15,34.9, , ,74,11110,9
 ,2004, , ,2020,용비어천가,내수동,"8,000",종로구,10,120,23,58.92, , ,75,11110,15
 ,2004, , ,2020,경희궁의 아침 2단지,내수동,"26,900",종로구,10,0,29,32.43, , ,71,11110,7
 ,2004, , ,2020,용비어천가,내수동,"1,500",종로구,10,157,29,45.89, , ,75,11110,15
 ,2020, , ,2020,디팰리스,신문로2가,"60,000",종로구,10,0,8,51.34, , ,171,11110,6
 ,2020, , ,2020,디팰리스,신문로2가,"100,000",종로구,10,0,14,70.7, , ,171,11110,4
 ,2020, , ,2020,디팰리스,신문로2가,"55,000",종로구,10,0,15,40.15, , ,171,11110,2
 ,2020, , ,2020,디팰리스,신문로2가,"70,000",종로구,10,0,21,53.75, , ,171,11110,5
 ,2005, , ,2020,종로1번가,관철동,"14,000",종로구,10,0,23,25.29, , ,155,11110,12
 ,2005, , ,2020,종로1번가,관철동,"15,000",종로구,10,0,28,25.29, , ,155,11110,6
 ,2020, , ,2020,종로 하이뷰 디아트,관수동,"1,000",종로구,10,80,8,18.16, , ,98-1,11110,7
 ,2020, , ,2020,종로 하이뷰 디아트,관수동,"21,500",종로구,10,0,24,18.16, , ,98-1,11110,7
 ,2020, , ,2020,헤스티아,숭인동,"13,800",종로구,10,0,5,15.47, , ,317-48,11110,12
 ,2016, , ,2020,아폴리움 오피스텔,숭인동,"13,000",종로구,10,0,5,16.31, , ,201-7,11110,13
 ,2020, , ,2020,헤스티아,숭인동,500,종로구,10,52,5,14.71, , ,317-48,11110,7
 ,2020, , ,2020,헤스티아,숭인동,"12,500",종로구,10,0,5,13.12, , ,317-48,11110,10
 ,2020, , ,2020,헤스티아,숭인동,"13,500",종로구,10,0,5,15.47, , ,317-48,11110,3
 ,2004, , ,2020,종로대우디오빌,숭인동,"1,000",종로구,10,60,7,29.65, , ,310,11110,11
