거래금액,거래유형,건축년도,년,단지,매도자,매수자,법정동,시군구,월세금액,월,일,전용면적,중개사소재지,지번,지역코드,층
"36,300", ,2008,2021,광화문 스페이스본, , , 사직동,종로구,존재하지 않음,4,14,39.54, ,9,11110,8
"35,450", ,2008,2021,광화문 스페이스본, , , 사직동,종로구,존재하지 않음,4,28,39.54, ,9,11110,12
"24,500", ,2004,2021,광화문시대, , , 내수동,종로구,존재하지 않음,4,10,32.01, ,74,11110,12
"62,000", ,2004,2021,경희궁의 아침 3단지, , , 내수동,종로구,존재하지 않음,4,20,71.01, ,72,11110,6
"29,900", ,2004,2021,경희궁의 아침 3단지, , , 내수동,종로구,존재하지 않음,4,30,37.5, ,72,11110,5
"43,000", ,2005,2021,광화문오피시아빌딩, , , 신문로1가,종로구,존재하지 않음,4,21,41.71, ,163,11110,16
"124,700", ,2020,2021,디팰리스, , , 신문로2가,종로구,존재하지 않음,4,2,80.262, ,171,11110,2
"105,000", ,2020,2021,디팰리스, , , 신문로2가,종로구,존재하지 않음,4,6,53.748, ,171,11110,4
"255,000", ,2020,2021,디팰리스, , , 신문로2가,종로구,존재하지 않음,4,14,126.131, ,171,11110,7
"30,150", ,2004,2021,두산위브파빌리온, , , 수송동,종로구,존재하지 않음,4,7,37.42, ,58,11110,5
"62,500", ,2004,2021,두산위브파빌리온, , , 수송동,종로구,존재하지 않음,4,16,78.61, ,58,11110,3
"38,200", ,2004,2021,두산위브파빌리온, , , 수송동,종로구,존재하지 않음,4,21,53.74, ,58,11110,9
"60,000", ,2007,2021,르메이에르종로타운1, , , 종로1가,종로구,존재하지 않음,4,27,81.01, ,24,11110,7
"30,900", ,2008,2021,종로1가 대성스카이렉스, , , 견지동,종로구,존재하지 않음,4,14,40.45, ,110,11110,8
"29,042", ,2008,2021,종로1가 대성스카이렉스, , , 견지동,종로구,존재하지 않음,4,23,35.95, ,110,11110,11
"14,500", ,1994,2021,종로오피스텔, , , 낙원동,종로구,존재하지 않음,4,7,25.2, ,58-1,11110,11
"12,000", ,1991,2021,낙원오피스텔, , , 돈의동,종로구,존재하지 않음,4,14,24.73, ,39-2,11110,9
"19,000", ,2003,2021,코윈 팔레스뷰 오피스텔, , , 원남동,종로구,존재하지 않음,4,6,32.8, ,95,11110,8
"15,000", ,2003,2021,반도 보라 아이비 타워, , , 효제동,종로구,존재하지 않음,4,3,27.58, ,45,11110,6
"11,900", ,1996,2021,금호팔레스, , , 창신동,종로구,존재하지 않음,4,9,30.84, ,327-2,11110,16
"10,000", ,2014,2021,삼전솔하임4차, , , 숭인동,종로구,존재하지 않음,4,5,19.17, ,318-2,11110,7
"13,000", ,2002,2021,수석컴비즈텔, , , 숭인동,종로구,존재하지 않음,4,7,41.16, ,55-6,11110,7
"39,000", ,2004,2021,롯데캐슬 천지인, , , 숭인동,종로구,존재하지 않음,4,8,67.96, ,76,11110,9
"26,500", ,2004,2021,롯데캐슬 천지인, , , 숭인동,종로구,존재하지 않음,4,9,39.6, ,76,11110,13
"27,200", ,2004,2021,롯데캐슬 천지인, , , 숭인동,종로구,존재하지 않음,4,15,39.6, ,76,11110,14
"13,800", ,2005,2021,동양파라빌, , , 숭인동,종로구,존재하지 않음,4,17,27.09, ,1388,11110,4
"10,900", ,2005,2021,동양파라빌, , , 숭인동,종로구,존재하지 않음,4,19,24.93, ,1388,11110,10
"11,600", ,2005,2021,동양파라빌, , , 숭인동,종로구,존재하지 않음,4,22,27.09, ,1388,11110,10
"16,000", ,2004,2021,종로대우디오빌, , , 숭인동,종로구,존재하지 않음,4,23,29.65, ,310,11110,15
"14,500", ,2013,2021,버넷하임1, , , 숭인동,종로구,존재하지 않음,4,26,25.88, ,1421,11110,11
"45,500", ,2017,2021,경희궁자이, , , 교북동,종로구,존재하지 않음,4,16,31.7452, ,126,11110,4
"32,800", ,2017,2021,경희궁자이, , , 교북동,종로구,존재하지 않음,4,28,25.6553, ,126,11110,2
"9,000", ,2003,2021,오피스텔 천지인, , , 평창동,종로구,존재하지 않음,4,23,23.4, ,289-5,11110,5
"19,650", ,2016,2021,충무로엘크루메트로시티2, , , 충무로5가,중구,존재하지 않음,4,15,23.03, ,36-2,11140,2
"7,500", ,1999,2021,광희동금호트윈 오피스텔, , , 광희동1가,중구,존재하지 않음,4,13,19.8, ,89-1,11140,6
"10,000", ,2003,2021,코업레지던스, , , 을지로6가,중구,존재하지 않음,4,24,15.94, ,32,11140,12
"24,000", ,2013,2021,엘크루 메트로시티, , , 충무로3가,중구,존재하지 않음,4,14,26.78, ,49,11140,14
"21,300", ,2013,2021,엘크루 메트로시티, , , 충무로3가,중구,존재하지 않음,4,20,28.1, ,49,11140,9
"24,900", ,2013,2021,엘크루 메트로시티, , , 충무로3가,중구,존재하지 않음,4,28,28.94, ,49,11140,8
"16,300", ,2014,2021,신당아르브, , , 신당동,중구,존재하지 않음,4,14,21.31, ,160-5,11140,11
"32,900", ,2014,2021,청계천 두산위브더제니스, , , 흥인동,중구,존재하지 않음,4,5,40.885, ,13-1,11140,14
"37,000", ,2014,2021,청계천 두산위브더제니스, , , 흥인동,중구,존재하지 않음,4,7,46.735, ,13-1,11140,7
"37,000", ,2014,2021,청계천 두산위브더제니스, , , 흥인동,중구,존재하지 않음,4,12,46.735, ,13-1,11140,7
"36,000", ,2014,2021,청계천 두산위브더제니스, , , 흥인동,중구,존재하지 않음,4,16,46.735, ,13-1,11140,17
"34,500", ,2014,2021,청계천 두산위브더제니스, , , 흥인동,중구,존재하지 않음,4,23,39.325, ,13-1,11140,27
"37,000", ,2014,2021,청계천 두산위브더제니스, , , 흥인동,중구,존재하지 않음,4,27,46.735, ,13-1,11140,7
"14,200", ,2014,2021,동대문 와이즈 캐슬, , , 흥인동,중구,존재하지 않음,4,28,19.92, ,119,11140,7
"14,500", ,2014,2021,동대문 와이즈 캐슬, , , 흥인동,중구,존재하지 않음,4,28,19.92, ,119,11140,7
"29,000", ,2017,2021,(1079), , , 황학동,중구,존재하지 않음,4,2,42.19, ,1079,11140,5
"15,000", ,2014,2021,황학동 복합시설(DUO302), , , 황학동,중구,존재하지 않음,4,3,23.06, ,819,11140,6
"15,000", ,2014,2021,황학동 복합시설(DUO302), , , 황학동,중구,존재하지 않음,4,3,22.52, ,819,11140,6
"12,000", ,2004,2021,신당역올리브2, , , 황학동,중구,존재하지 않음,4,6,23.82, ,2484,11140,12
"11,400", ,2004,2021,올리브1, , , 황학동,중구,존재하지 않음,4,10,25.05, ,808,11140,6
"12,600", ,2004,2021,올리브1, , , 황학동,중구,존재하지 않음,4,15,25.05, ,808,11140,8
"12,500", ,2004,2021,신당역올리브2, , , 황학동,중구,존재하지 않음,4,20,23.82, ,2484,11140,5
"11,000", ,2013,2021,한양 I-Class, , , 황학동,중구,존재하지 않음,4,21,19.05, ,787,11140,2
"12,450", ,2004,2021,올리브1, , , 황학동,중구,존재하지 않음,4,27,25.05, ,808,11140,15
"35,500", ,2016,2021,덕수궁롯데캐슬, , , 순화동,중구,존재하지 않음,4,20,38.7881, ,217,11140,8
"61,500", ,2005,2021,바비엥-2, , , 의주로1가,중구,존재하지 않음,4,27,80.31, ,25-10,11140,13
"67,200", ,2006,2021,브라운스톤서울, , , 중림동,중구,존재하지 않음,4,5,62.82, ,355,11140,5
"44,500", ,2006,2021,브라운스톤서울, , , 중림동,중구,존재하지 않음,4,15,49.39, ,355,11140,5
"66,350", ,2006,2021,브라운스톤서울, , , 중림동,중구,존재하지 않음,4,23,62.82, ,355,11140,4
"22,000", ,2005,2021,서울역 디오빌, , , 만리동1가,중구,존재하지 않음,4,26,27.74, ,62-7,11140,4
"27,500", ,2004,2021,KCC 파크타운, , , 만리동2가,중구,존재하지 않음,4,14,32.02, ,11-1,11140,13
"22,800", ,2004,2021,갈월동 에이트리움, , , 갈월동,용산구,존재하지 않음,4,2,31.51, ,101-49,11170,14
"26,300", ,2004,2021,갈월동 에이트리움, , , 갈월동,용산구,존재하지 않음,4,22,30.97, ,101-49,11170,18
"79,000", ,2013,2021,센트레빌아스테리움서울, , , 동자동,용산구,존재하지 않음,4,14,78.13, ,45,11170,7
"15,700", ,2004,2021,디아뜨 센트럴, , , 원효로1가,용산구,존재하지 않음,4,1,25.5, ,112-4,11170,2
"17,000", ,2004,2021,디아뜨 센트럴, , , 원효로1가,용산구,존재하지 않음,4,20,25.19, ,112-4,11170,11
"17,000", ,2004,2021,디아뜨 센트럴, , , 원효로1가,용산구,존재하지 않음,4,24,25.5, ,112-4,11170,12
"16,200", ,2003,2021,e테크밸리, , , 원효로3가,용산구,존재하지 않음,4,6,38.12, ,51-37,11170,5
