거래금액,거래유형,건축년도,년,단지,매도자,매수자,법정동,시군구,월세금액,월,일,전용면적,중개사소재지,지번,지역코드,층
"36,000", ,2008,2020,광화문 스페이스본, , , 사직동,종로구,존재하지 않음,1,7,39.54, ,9,11110,8
"33,000", ,2008,2020,광화문 스페이스본, , , 사직동,종로구,존재하지 않음,1,17,39.54, ,9,11110,2
"48,000", ,2004,2020,경희궁의 아침 2단지, , , 내수동,종로구,존재하지 않음,1,2,51.02, ,71,11110,6
"28,500", ,2004,2020,경희궁의 아침 2단지, , , 내수동,종로구,존재하지 않음,1,14,32.43, ,71,11110,13
"27,000", ,2004,2020,광화문시대, , , 내수동,종로구,존재하지 않음,1,15,34.9, ,74,11110,12
"24,000", ,2004,2020,경희궁의 아침 4단지, , , 내수동,종로구,존재하지 않음,1,16,28.24, ,73,11110,7
"27,100", ,2004,2020,광화문시대, , , 내수동,종로구,존재하지 않음,1,17,34.9, ,74,11110,9
"52,000", ,2004,2020,경희궁의 아침 2단지, , , 내수동,종로구,존재하지 않음,1,18,57.8, ,71,11110,14
"63,000", ,2004,2020,광화문시대, , , 내수동,종로구,존재하지 않음,1,18,73.78, ,74,11110,15
"29,500", ,2004,2020,경희궁의 아침 3단지, , , 내수동,종로구,존재하지 않음,1,28,37.5, ,72,11110,14
"35,500", ,2004,2020,광화문시대, , , 내수동,종로구,존재하지 않음,1,30,48.86, ,74,11110,17
"36,000", ,2004,2020,경희궁의 아침 4단지, , , 내수동,종로구,존재하지 않음,1,30,40.03, ,73,11110,6
"29,300", ,2004,2020,경희궁의 아침 3단지, , , 내수동,종로구,존재하지 않음,1,31,37.5, ,72,11110,6
"29,500", ,2004,2020,두산위브파빌리온, , , 수송동,종로구,존재하지 않음,1,8,37.42, ,58,11110,6
"48,000", ,2004,2020,두산위브파빌리온, , , 수송동,종로구,존재하지 않음,1,17,74.84, ,58,11110,13
"29,800", ,2007,2020,르메이에르종로타운1, , , 종로1가,종로구,존재하지 않음,1,3,36.23, ,24,11110,11
"25,500", ,2007,2020,르메이에르종로타운1, , , 종로1가,종로구,존재하지 않음,1,14,34.59, ,24,11110,13
"29,500", ,2007,2020,르메이에르종로타운1, , , 종로1가,종로구,존재하지 않음,1,16,36.23, ,24,11110,6
"39,900", ,2007,2020,르메이에르종로타운1, , , 종로1가,종로구,존재하지 않음,1,20,56.64, ,24,11110,16
"31,500", ,2007,2020,르메이에르종로타운1, , , 종로1가,종로구,존재하지 않음,1,28,36.23, ,24,11110,10
"40,000", ,2007,2020,르메이에르종로타운1, , , 종로1가,종로구,존재하지 않음,1,29,56.64, ,24,11110,20
"21,400", ,2005,2020,운현궁 에스케이 허브, , , 경운동,종로구,존재하지 않음,1,27,23.87, ,89-4,11110,6
"35,000", ,2006,2020,효성주얼리시티, , , 인의동,종로구,존재하지 않음,1,18,60.37, ,48-2,11110,4
