TBL_NM,PRD_DE,TBL_ID,ITM_NM,ITM_NM_ENG,ITM_ID,UNIT_NM,ORG_ID,UNIT_NM_ENG,C1_OBJ_NM,C1_OBJ_NM_ENG,DT,PRD_SE,C1,C1_NM,C1_NM_ENG,LST_CHN_DE
행정구역(시군구)별 성별 인구수,202306,DT_1B040A3,총인구수,Koreans (Total),T20,명,101,Person,행정구역(시군구)별,By Administrative District,140397,M,11110,종로구,Jongno-gu,2023-07-06
행정구역(시군구)별 성별 인구수,202307,DT_1B040A3,총인구수,Koreans (Total),T20,명,101,Person,행정구역(시군구)별,By Administrative District,140206,M,11110,종로구,Jongno-gu,2023-08-11
행정구역(시군구)별 성별 인구수,202308,DT_1B040A3,총인구수,Koreans (Total),T20,명,101,Person,행정구역(시군구)별,By Administrative District,140032,M,11110,종로구,Jongno-gu,2023-09-04
행정구역(시군구)별 성별 인구수,202309,DT_1B040A3,총인구수,Koreans (Total),T20,명,101,Person,행정구역(시군구)별,By Administrative District,139945,M,11110,종로구,Jongno-gu,2023-10-05
행정구역(시군구)별 성별 인구수,202310,DT_1B040A3,총인구수,Koreans (Total),T20,명,101,Person,행정구역(시군구)별,By Administrative District,139606,M,11110,종로구,Jongno-gu,2023-11-03
행정구역(시군구)별 성별 인구수,202311,DT_1B040A3,총인구수,Koreans (Total),T20,명,101,Person,행정구역(시군구)별,By Administrative District,139497,M,11110,종로구,Jongno-gu,2023-12-11
행정구역(시군구)별 성별 인구수,202312,DT_1B040A3,총인구수,Koreans (Total),T20,명,101,Person,행정구역(시군구)별,By Administrative District,139417,M,11110,종로구,Jongno-gu,2024-01-04
행정구역(시군구)별 성별 인구수,202401,DT_1B040A3,총인구수,Koreans (Total),T20,명,101,Person,행정구역(시군구)별,By Administrative District,139378,M,11110,종로구,Jongno-gu,2024-02-01
행정구역(시군구)별 성별 인구수,202402,DT_1B040A3,총인구수,Koreans (Total),T20,명,101,Person,행정구역(시군구)별,By Administrative District,139471,M,11110,종로구,Jongno-gu,2024-03-04
행정구역(시군구)별 성별 인구수,202403,DT_1B040A3,총인구수,Koreans (Total),T20,명,101,Person,행정구역(시군구)별,By Administrative District,139498,M,11110,종로구,Jongno-gu,2024-04-01
행정구역(시군구)별 성별 인구수,202404,DT_1B040A3,총인구수,Koreans (Total),T20,명,101,Person,행정구역(시군구)별,By Administrative District,139432,M,11110,종로구,Jongno-gu,2024-05-07
행정구역(시군구)별 성별 인구수,202405,DT_1B040A3,총인구수,Koreans (Total),T20,명,101,Person,행정구역(시군구)별,By Administrative District,139343,M,11110,종로구,Jongno-gu,2024-06-03
행정구역(시군구)별 성별 인구수,202306,DT_1B040A3,남자인구수,Koreans (Male),T21,명,101,Person,행정구역(시군구)별,By Administrative District,67834,M,11110,종로구,Jongno-gu,2023-07-06
행정구역(시군구)별 성별 인구수,202307,DT_1B040A3,남자인구수,Koreans (Male),T21,명,101,Person,행정구역(시군구)별,By Administrative District,67747,M,11110,종로구,Jongno-gu,2023-08-11
행정구역(시군구)별 성별 인구수,202308,DT_1B040A3,남자인구수,Koreans (Male),T21,명,101,Person,행정구역(시군구)별,By Administrative District,67682,M,11110,종로구,Jongno-gu,2023-09-04
행정구역(시군구)별 성별 인구수,202309,DT_1B040A3,남자인구수,Koreans (Male),T21,명,101,Person,행정구역(시군구)별,By Administrative District,67625,M,11110,종로구,Jongno-gu,2023-10-05
행정구역(시군구)별 성별 인구수,202310,DT_1B040A3,남자인구수,Koreans (Male),T21,명,101,Person,행정구역(시군구)별,By Administrative District,67466,M,11110,종로구,Jongno-gu,2023-11-03
행정구역(시군구)별 성별 인구수,202311,DT_1B040A3,남자인구수,Koreans (Male),T21,명,101,Person,행정구역(시군구)별,By Administrative District,67393,M,11110,종로구,Jongno-gu,2023-12-11
행정구역(시군구)별 성별 인구수,202312,DT_1B040A3,남자인구수,Koreans (Male),T21,명,101,Person,행정구역(시군구)별,By Administrative District,67306,M,11110,종로구,Jongno-gu,2024-01-04
행정구역(시군구)별 성별 인구수,202401,DT_1B040A3,남자인구수,Koreans (Male),T21,명,101,Person,행정구역(시군구)별,By Administrative District,67240,M,11110,종로구,Jongno-gu,2024-02-01
행정구역(시군구)별 성별 인구수,202402,DT_1B040A3,남자인구수,Koreans (Male),T21,명,101,Person,행정구역(시군구)별,By Administrative District,67266,M,11110,종로구,Jongno-gu,2024-03-04
행정구역(시군구)별 성별 인구수,202403,DT_1B040A3,남자인구수,Koreans (Male),T21,명,101,Person,행정구역(시군구)별,By Administrative District,67228,M,11110,종로구,Jongno-gu,2024-04-01
행정구역(시군구)별 성별 인구수,202404,DT_1B040A3,남자인구수,Koreans (Male),T21,명,101,Person,행정구역(시군구)별,By Administrative District,67138,M,11110,종로구,Jongno-gu,2024-05-07
행정구역(시군구)별 성별 인구수,202405,DT_1B040A3,남자인구수,Koreans (Male),T21,명,101,Person,행정구역(시군구)별,By Administrative District,67105,M,11110,종로구,Jongno-gu,2024-06-03
행정구역(시군구)별 성별 인구수,202306,DT_1B040A3,여자인구수,Koreans (Female),T22,명,101,Person,행정구역(시군구)별,By Administrative District,72563,M,11110,종로구,Jongno-gu,2023-07-06
