시도교육청코드,시도교육청명,행정표준코드,학교명,영문학교명,학교종류명,시도명,관할조직명,설립명,도로명우편번호,도로명주소,도로명상세주소,전화번호,홈페이지주소,남녀공학구분명,팩스번호,고등학교구분명,산업체특별학급존재여부,고등학교일반전문구분명,특수목적고등학교계열명,입시전후기구분명,주야구분명,설립일자,개교기념일,수정일자
B10,서울특별시교육청,7031110,경기초등학교,Kyonggi Elementary School,초등학교,서울특별시,서울특별시서부교육지원청,사립,03746 ,서울특별시 서대문구 경기대로9길 10,(충정로2가/경기초등학교),02-363-2908,http://www.kyonggicho.es.kr,남여공학,02-3146-9581, ,N,일반계, ,전기,주간,19641203,19641203,20230615
B10,서울특별시교육청,7134077,경복초등학교,Kyungbok Elementary School,초등학교,서울특별시,서울특별시성동광진교육지원청,사립,04991 ,서울특별시 광진구 천호대로130길 58,/ 경복초등학교 (능동),02-2204-1200,http://www.kbes.kr,남여공학,02-454-5086, ,N,일반계, ,전기,주간,19650302,19650302,20230615
B10,서울특별시교육청,7021079,경희초등학교,Kyunghee Elementary School,초등학교,서울특별시,서울특별시동부교육지원청,사립,02447 ,서울특별시 동대문구 경희대로 26,/ 경희초등학교 (회기동/ 경희대학교),02-962-4300,http://www.kyunghee.es.kr,남여공학,02-967-2498, ,N,일반계, ,전기,주간,19610331,19610518,20230615
B10,서울특별시교육청,7091368,계성초등학교,Gyeseong Elementary School,초등학교,서울특별시,서울특별시강남서초교육지원청,사립,06504 ,서울특별시 서초구 신반포로19길 23,/ 계성초등학교 (반포동),02-590-5500,http://www.gyeseong1882.es.kr,남여공학,02-590-5555, ,N,일반계, ,전기,주간,18820908,18820908,20230615
B10,서울특별시교육청,7121335,광운초등학교,Kwangwoon Elementary School,초등학교,서울특별시,서울특별시성북강북교육지원청,사립,02763 ,서울특별시 성북구 한천로 694,/ 광운초등학교 (장위동/ 광운초등학교),02-915-7312,http://kwangwoon.sen.es.kr,남여공학,02-915-7515, ,N,일반계, ,전기,주간,19651025,19651025,20230615
B10,서울특별시교육청,7021080,금성초등학교,Kumsung Elementary school,초등학교,서울특별시,서울특별시동부교육지원청,사립,02028 ,서울특별시 중랑구 신내로21길 55,/ 금성초등학교 (신내동),02-3421-0500,http://www.kumsung.net,남여공학,02-3421-2700, ,N,일반계, ,전기,주간,19650607,19650626,20230615
B10,서울특별시교육청,7121336,대광초등학교,Daegwang Elementary School,초등학교,서울특별시,서울특별시성북강북교육지원청,사립,02859 ,서울특별시 성북구 안암로 5,(보문동7가/대광초등학교),02-923-2032,http://www.daegwang.or.kr,남여공학,02-922-6195, ,N,일반계, ,전기,주간,19651201,19660525,20230615
B10,서울특별시교육청,7041099,동광초등학교,Dong Gwang Elementary School,초등학교,서울특별시,서울특별시남부교육지원청,사립,08656 ,서울특별시 금천구 탑골로10길 45,/ 동광초등학교 (시흥동),02-891-0151,http://donggwang.sen.es.kr ,남여공학,02-891-0153, ,N,일반계, ,전기,주간,20010301,20010305,20230615
B10,서울특별시교육청,7051109,동북초등학교,Dongbuk Elementary School,초등학교,서울특별시,서울특별시북부교육지원청,사립,01375 ,서울특별시 도봉구 시루봉로 53,/ 동북초등학교 (쌍문동),02-993-1233,http://dongbuk.sen.es.kr,남여공학,02-996-8184, ,N,일반계, ,전기,주간,19640404,19640915,20230615
B10,서울특별시교육청,7061054,동산초등학교,Dongsan Elementary School,초등학교,서울특별시,서울특별시중부교육지원청,사립,04592 ,서울특별시 중구 매봉18길 109,/ 동산초등학교 (신당동),02-2252-7654,http://seoul-dongsan.es.kr,남여공학,02-2252-6558, ,N,일반계, ,전기,주간,19660310,19660310,20230615
B10,서울특별시교육청,7061055,리라초등학교,Lila Elementary School,초등학교,서울특별시,서울특별시중부교육지원청,사립,04628 ,서울특별시 중구 소파로2길 7,(예장동),02-777-7461,http://www.lila.es.kr,남여공학,02-774-2900, ,N,일반계, ,전기,주간,19650520,19650520,20230910
B10,서울특별시교육청,7121337,매원초등학교,Maewon Elementary School,초등학교,서울특별시,서울특별시성북강북교육지원청,사립,02828 ,서울특별시 성북구 북악산로 870,(돈암동),02-922-6052,http://www.maewon.es.kr,남여공학,02-921-1105, ,N,일반계, ,전기,주간,19631205,19640309,20230615
B10,서울특별시교육청,7031111,명지초등학교,Myongji Elementary School,초등학교,서울특별시,서울특별시서부교육지원청,사립,03656 ,서울특별시 서대문구 명지2길 32-20,(홍은동),02-372-2872,http://www.myongji.net,남여공학,02-375-6996, ,N,일반계, ,전기,주간,19670315,19670315,20230615
B10,서울특별시교육청,7061056,상명대학교사범대학부속초등학교,Attached Elementary School College Of Education Sangmyung University,초등학교,서울특별시,서울특별시중부교육지원청,사립,03015 ,서울특별시 종로구 홍지문2길 1,(홍지동/ 상명초등학교),02-379-8033,http://sangmyung-ae.sen.es.kr,남여공학,02-379-2057, ,N,일반계, ,전기,주간,19660312,19660517,20230615
B10,서울특별시교육청,7051110,상명초등학교,Sangmyeong Elementary School,초등학교,서울특별시,서울특별시북부교육지원청,사립,01758 ,서울특별시 노원구 덕릉로 541,/ 상명초등학교 (중계동),02-3788-3300,http://www.smcho.es.kr,남여공학,02-976-2785, ,N,일반계, ,전기,주간,19640206,19640206,20230615
